word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
counteract,/ˈkaʊntərˌækt/,chống lại,To act against something in order to reduce its force or neutralize its effect.,The administration of an antagonist is a common medical strategy to counteract the effects of an overdose by blocking the drug's receptor sites.,verb,"to counteract, and counteract, can counteract","neutralize, offset",,Pharmacology,IELTS 7.5+
overwhelm,/ˌoʊvərˈwɛlm/,áp đảo,"To give a person or a system too much of something to handle or deal with, often leading to a state of being unable to function effectively.","When the rate of information accumulation is too high, the cognitive system may be unable to process it all, and this can overwhelm the decision-making process.",verb,"to overwhelm, and overwhelm, not overwhelm","inundate, engulf",,Psychology,IELTS 7.5+
acute,/əˈkjut/,cấp tính,"Describing a condition, problem, or sense that is severe, intense, and often of sudden onset or short duration; also, highly developed or keen.",The study documented the acute respiratory effects of short-term exposure to high levels of urban air pollution among susceptible populations.,adjective,"of acute, an acute, the acute","severe, sharp",,Medicine,IELTS 7.5+
mandatory,/ˈmændəˌtɔri/,bắt buộc,"Required by law, rules, or authority; compulsory and not optional.","Following the institutional review board's new guidelines, it is now mandatory for all researchers to complete a comprehensive ethics training module before initiating any study involving human subjects.",adjective,"the mandatory, is mandatory, a mandatory","compulsory, obligatory",,Education,IELTS 7.5+
drastic,/ˈdræstɪk/,quyết liệt,Likely to have a strong or far-reaching effect; radical and extreme.,"The report from the climate council concluded that without drastic reductions in carbon emissions, global temperatures could rise to irreversible and catastrophic levels.",adjective,"a drastic, the drastic, more drastic","extreme, severe",,Environmental Science,IELTS 7.5+
disruption,/dɪsˈrəpʃən/,sự gián đoạn,"A disturbance or problem that interrupts an event, activity, or process, often causing a fundamental change.","The theory of disruptive innovation posits that market leaders can be overthrown by newcomers who introduce simpler, more affordable products, leading to a significant disruption of the established order.",noun,"the disruption, of disruption, and disruption","disturbance, interruption",,Business,IELTS 7.5+
indispensable,/ˌɪndɪˈspɛnsəbəl/,không thể thiếu,Absolutely necessary or essential; impossible to manage or live without.,"For early sociologists like Durkheim, social institutions were considered indispensable for maintaining societal order and preventing widespread anomie.",adjective,"an indispensable, is indispensable, the indispensable","essential, vital",,Sociology,IELTS 7.5+
plausible,/ˈplɔzəbəl/,có lý,"(of an argument or statement) seeming reasonable or probable, and therefore potentially true.","Based on the stratigraphic evidence and the carbon dating of associated artifacts, the archaeologist presented a plausible timeline for the settlement's collapse.",adjective,"a plausible, more plausible, is plausible","credible, believable",,Archaeology,IELTS 7.5+
analogous,/əˈnæləgəs/,tương tự,"Comparable in certain respects, typically in a way which makes clearer the nature of the things compared.","In evolutionary biology, the wings of a bird and an insect are considered analogous structures because they serve the same function of flight but evolved independently from different ancestral origins.",adjective,"is analogous, an analogous, the analogous","comparable, parallel",,Biology,IELTS 7.5+
viable,/ˈvaɪəbəl/,khả thi,"Capable of working, functioning, or developing successfully; having a reasonable chance of succeeding.","For long-term space missions, developing a closed-loop life support system that can recycle waste into viable resources like water and oxygen is a paramount engineering challenge.",adjective,"a viable, of viable, economically viable","feasible, workable",,Biology,IELTS 7.5+
consolidate,/kənˈsɑlɪˌdeɪt/,củng cố,"To combine several things, such as organizations, debts, or resources, into a single more effective or coherent whole; to make something physically stronger or more solid.","After a series of strategic acquisitions, the multinational corporation began the complex process to consolidate its diverse operations into a more streamlined and efficient global structure.",verb,"to consolidate, and consolidate, or consolidate","combine, unify",,Business,IELTS 7.5+
intact,/ˌɪnˈtækt/,nguyên vẹn,Not damaged or impaired in any way; complete and in the original state.,"Despite centuries of looting, the archaeologists were astonished to find the pharaoh's innermost burial chamber completely intact, with all its treasures untouched.",adjective,"the intact, an intact, remained intact","unbroken, undamaged",,Archaeology,IELTS 7.5+
conceive,/kənˈsiv/,thụ thai,To form or devise a plan or idea in the mind; to imagine.,"It is difficult for the human mind to conceive of a universe with more than three spatial dimensions, yet theoretical physics requires us to do so.",verb,"to conceive, not conceive, can conceive","imagine, devise",,Philosophy,IELTS 7.5+
deficiency,/dɪˈfɪʃənsi/,sự thiếu hụt,A lack or shortage of something that is necessary or required.,"A long-term deficiency of vitamin C in the diet can lead to scurvy, a disease characterized by bleeding gums and the loss of teeth.",noun,"a deficiency, the deficiency, mental deficiency","shortage, inadequacy",,Biology,IELTS 7.5+
deforestation,/dɪˌfɔrɪˈsteɪʃən/,phá rừng,"The permanent removal of trees to make room for something besides a forest, such as clearing the land for agriculture or grazing, or using the timber for fuel, construction, or manufacturing.","The conversion of forested areas to non-forest land for uses such as agriculture or urban development, known as deforestation, is a primary driver of habitat loss and contributes significantly to global carbon emissions.",noun,"of deforestation, and deforestation, tropical deforestation","forest clearing, despoliation",,Environmental Science,IELTS 7.5+
ascribe,/əˈskraɪb/,gán cho,"To regard something as being caused by, possessed by, or originating from a particular person or thing.","The stability of the early Roman Empire is often ascribed to the political genius of its first emperor, Augustus, who skillfully blended republican traditions with monarchical power.",verb,"to ascribe, we ascribe, not ascribe","attribute, impute",,History,IELTS 7.5+
emission,/ɪˈmɪʃən/,khí thải,"The production and discharge of something, especially gas or radiation.","International agreements, such as the Kyoto Protocol, have been established to compel signatory nations to reduce their anthropogenic greenhouse gas emission levels.",noun,"the emission, of emission, positron emission","discharge, release",,Environmental Science,IELTS 7.5+
allegation,/ˌæləˈgeɪʃən/,lời cáo buộc,"A claim or assertion that someone has done something illegal or wrong, typically one made without proof.","The special counsel's report meticulously detailed each allegation, assessing the credibility of the sources and the corroborating evidence available.",noun,"the allegation, an allegation, this allegation","claim, accusation",,Law,IELTS 7.5+
irreversible,/ˌɪrɪˈvərsəbəl/,không thể đảo ngược,Not able to be undone or altered; impossible to reverse.,"In thermodynamics, an irreversible process is one that cannot return both the system and the surroundings to their original conditions once the process has been initiated.",adjective,"an irreversible, and irreversible, the irreversible","permanent, irrevocable",,Chemistry,IELTS 7.5+
abstract,/ˈæbˌstrækt/,trừu tượng,Existing in thought or as an idea but not having a physical or concrete existence.,"In philosophy, an abstract object is an object which does not exist at any particular time or place, but rather exists as a type of thing, that is, an idea or abstraction.",adjective,"the abstract, an abstract, of abstract","conceptual, theoretical",,Philosophy,IELTS 7.5+
essence,/ˈɛsəns/,nước hoa,"The intrinsic nature or indispensable quality of something, especially something abstract, that determines its character.","Existentialist philosophy posits that existence precedes essence, meaning that individuals first exist in the world and then must create their own values and meaning.",noun,"the essence, in essence, very essence","core, quintessence",,Philosophy,IELTS 7.5+
credibility,/ˌkrɛdəˈbɪlɪti/,độ tin cậy,The quality of being trusted and believed in; the quality of being convincing or believable.,The meticulous methodology and transparent data analysis significantly enhanced the credibility of the research findings within the scientific community.,noun,"the credibility, of credibility, and credibility","trustworthiness, reliability",,Sociology,IELTS 7.5+
obsolete,/ˌɑbsəˈlit/,lỗi thời,No longer produced or used; out of date.,"As manufacturing processes become more automated, many traditional manual skills are rendered obsolete, forcing a significant shift in the labor market.",adjective,"become obsolete, an obsolete, the obsolete","outdated, antiquated",,Technology,IELTS 7.5+
explicit,/ɪkˈsplɪsət/,rõ ràng,"Stated clearly and in detail, leaving no room for confusion or doubt.","The theory provides an explicit framework for analyzing how grammatical structures are acquired by second-language learners, detailing each stage of development.",adjective,"an explicit, the explicit, more explicit","clear, unambiguous",,Linguistics,IELTS 7.5+
density,/ˈdɛnsɪti/,Tỉ trọng,"The degree of compactness of a substance, measured by the quantity of mass per unit volume.","In physics, density is a fundamental property of matter, defined as the ratio of an object's mass to its volume, which helps in identifying substances and understanding their physical behavior under various conditions.",noun,"the density, population density, current density","compactness, concentration",,Physics,IELTS 7.5+
suppress,/səˈprɛs/,kìm nén,"To prevent something from being expressed, seen, or from developing, often by force or authority.","The authoritarian regime took drastic measures to suppress dissent, including shutting down independent media and arresting opposition leaders.",verb,"to suppress, not suppress, and suppress","repress, quell",,Political Science,IELTS 7.5+
detection,/dɪˈtɛkʃən/,phát hiện,"The action or process of identifying the presence of something that is concealed, subtle, or not immediately obvious.",The algorithm's primary function is the real-time detection of fraudulent transactions by analyzing patterns in user spending data.,noun,"the detection, of detection, for detection","discovery, identification",,Computer Science,IELTS 7.5+
conclusive,/kənˈklusɪv/,kết luận,"Serving to prove a case; decisive or convincing, leaving no doubt.","Despite numerous studies, the evidence regarding the long-term cognitive effects of the new medication remains far from conclusive, prompting researchers to call for larger, more controlled trials.",adjective,"not conclusive, and conclusive, be conclusive","decisive, definitive",,Scientific Research,IELTS 7.5+
cultivate,/ˈkəltəˌveɪt/,trồng trọt,"To try to acquire or develop a quality, skill, or relationship by giving it attention and effort over time.",Educational institutions play a crucial role in helping students cultivate a sense of global citizenship by exposing them to diverse cultures and perspectives.,verb,"to cultivate, and cultivate, they cultivate","nurture, foster",,Sociology,IELTS 7.5+
occurrence,/əˈkərəns/,sự xuất hiện,The fact or frequency of something happening or existing.,The frequent occurrence of seismic activity along the San Andreas Fault is a direct result of the tectonic plate boundary.,noun,"the occurrence, of occurrence, its occurrence","incident, event",,Geology,IELTS 7.5+
presumably,/prɪˈzuməbli/,có lẽ,"Used to convey that something is very likely to be true or is a reasonable assumption, although not known for certain.","The intricate burial rituals, which involved placing valuable artifacts alongside the deceased, were presumably intended to ensure a prosperous afterlife for the individual.",adverb,"and presumably, is presumably, was presumably","supposedly, ostensibly",,Archaeology,IELTS 7.5+
invoke,/ˌɪnˈvoʊk/,gọi,"To cite or appeal to a law, authority, or principle as an authority for an action or in support of an argument.","In response to the escalating crisis, the Security Council may invoke Chapter VII of the UN Charter, which authorizes member states to use all necessary means, including military action, to restore international peace and security.",verb,"to invoke, not invoke, can invoke","cite, appeal to",,Law,IELTS 7.5+
feasible,/ˈfizəbəl/,khả thi,"Capable of being done, effected, or accomplished, especially within available means or resources; possible and practical to achieve.","While it is technically feasible to implement a fully decentralized peer-to-peer network for this purpose, the associated latency and bandwidth costs present significant practical challenges.",adjective,"not feasible, is feasible, be feasible","practicable, viable",,Engineering,IELTS 7.5+
invaluable,/ˌɪnˈvæljəbəl/,vô giá,Extremely useful; so great in value that it cannot be measured.,"The discovery of the Rosetta Stone was an invaluable breakthrough for Egyptologists, as it provided the key to deciphering ancient hieroglyphs.",adjective,"an invaluable, is invaluable, be invaluable","priceless, indispensable",,History,IELTS 7.5+
superficial,/ˌsupərˈfɪʃəl/,hời hợt,"Concerned only with what is obvious or on the surface; not thorough, deep, or complete.","Early theories of emotion often relied on superficial physiological indicators, such as heart rate, without delving into the complex cognitive appraisals that shape emotional experiences.",adjective,"the superficial, a superficial, and superficial","shallow, cursory",,Psychology,IELTS 7.5+
adhere,/əˈdhɪr/,tuân theo,To stick fast to a surface or substance; to believe in and follow the practices of a particular ideology or set of rules.,"In the initial stages of biofilm formation, planktonic bacteria must first adhere to a surface, a critical step mediated by adhesin proteins.",verb,"to adhere, not adhere, and adhere","cling, stick",,Biology,IELTS 7.5+
boycott,/ˈbɔɪˌkɑt/,tẩy chay,"To refuse to buy, use, or participate in something as a form of protest, often to exert social, economic, or political pressure.","The Montgomery Bus Boycott, a seminal event in the Civil Rights Movement, demonstrated the profound economic and social impact of collective, nonviolent protest.",verb,"the boycott, a boycott, to boycott","embargo, sanction",,Sociology,IELTS 7.5+
refute,/rɪfˈjut/,bác bỏ,"To prove a statement, theory, or accusation to be wrong or false.","The philosopher's seminal paper was written to refute the prevailing deterministic view, arguing instead for the existence of free will based on quantum indeterminacy.",verb,"to refute, or refute, not refute","disprove, rebut",,Philosophy,IELTS 7.5+
succinct,/səkˈsɪŋkt/,ngắn gọn,Briefly and clearly expressed; using few words to state or express an idea.,"The abstract of the research paper provided a succinct summary of the methodology and key findings, allowing readers to quickly grasp the study's significance.",adjective,"a succinct, and succinct, most succinct","concise, terse",,Linguistics,IELTS 7.5+
devastate,/ˈdɛvəˌsteɪt/,tàn phá,"To destroy or ruin something completely, causing great damage and destruction.","The invasive emerald ash borer continues to devastate ash tree populations across North America, altering forest ecosystems and causing significant economic losses.",verb,"to devastate, and devastate, would devastate","ravage, ruin",,Environmental Science,IELTS 7.5+
articulate,/ɑrˈtɪkjəˌleɪt/,nói rõ ràng,"To express an idea, thought, or feeling fluently, coherently, and clearly.","In phonetic studies, researchers analyze how speakers articulate vowel sounds differently across various dialects of the same language.",verb,"to articulate, and articulate, an articulate","enunciate, express",,Linguistics,IELTS 7.5+
discriminate,/dɪˈskrɪməˌneɪt/,phân biệt đối xử,To recognize a distinction and differentiate between things; or to make an unjust or prejudicial distinction in the treatment of different categories of people.,"The study demonstrated that the algorithm could discriminate between benign and malignant tumors with over 95% accuracy, a significant advancement in diagnostic technology.",verb,"to discriminate, not discriminate, can discriminate","differentiate, distinguish",,Sociology,IELTS 7.5+
urbanization,/ˌərbənɪˈzeɪʃən/,đô thị hóa,"The process by which an increasing proportion of a population lives in cities and suburbs, often linked to economic and social changes like industrialization.","The Industrial Revolution spurred rapid urbanization as people flocked to cities for factory jobs, leading to unprecedented social and environmental challenges.",noun,"of urbanization, and urbanization, the urbanization","urban growth, city expansion",,Sociology,IELTS 7.5+
biased,/baɪəst/,thiên vị,Unfairly prejudiced for or against someone or something.,"To mitigate the risk of a biased interpretation, the research team employed a double-blind methodology, ensuring that neither the participants nor the experimenters knew who was receiving the experimental treatment.",adjective,"be biased, is biased, a biased","prejudiced, partisan",,Sociology,IELTS 7.5+
provocative,/proʊˈvɑkətɪv/,khiêu khích,"Intentionally causing a strong reaction, discussion, or thought by being stimulating or challenging.","The sociologist's latest paper presented a provocative thesis, arguing that modern social media platforms are fundamentally reshaping the nature of community itself.",adjective,"a provocative, and provocative, the provocative","challenging, stimulating",,Sociology,IELTS 7.5+
distort,/dɪˈstɔrt/,bóp méo,To pull or twist out of shape; to give a misleading or false account or impression of.,The selective presentation of facts can distort the public's perception of a political candidate's true stance on key issues.,verb,"to distort, and distort, or distort","warp, misrepresent",,Media Studies,IELTS 7.5+
configure,/kənˈfɪgjər/,cấu hình,"To arrange or set up the parts of something, especially a computer system or software, for a particular purpose or task.",Developers often need to configure complex build scripts to compile the open-source operating system for different hardware architectures.,verb,"to configure, can configure, and configure","set up, arrange",,Computer Science,IELTS 7.5+
axis,/ˈæksəs/,trục,"An imaginary line about which a body rotates, or a fixed reference line for the measurement of coordinates.","The Earth's axis of rotation is an imaginary line that passes through the North and South Poles, and its tilt relative to its orbital plane is the primary cause of the seasons.",noun,"the axis, vertical axis, its axis","pivot, centerline",,Mathematics,IELTS 7.5+
transmit,/trænzˈmɪt/,truyền tải,"To cause something, such as a disease, information, or energy, to pass on from one person, place, or thing to another.","In many species, parents transmit crucial genetic information to their offspring, ensuring the continuation of their lineage.",verb,"to transmit, and transmit, can transmit","convey, pass on",,Biology,IELTS 7.5+
paradox,/ˈpɛrəˌdɑks/,nghịch lý,A seemingly absurd or self-contradictory statement or proposition that when investigated or explained may prove to be well-founded or true.,"Zeno's paradox of the arrow, which argues that an arrow in flight is always at rest at any given instant, challenges the conventional understanding of motion and continuity in classical mechanics.",noun,"the paradox, a paradox, this paradox","contradiction, incongruity",,Philosophy,IELTS 7.5+
afflict,/əˈflɪkt/,đau khổ,(of a problem or illness) to cause pain or suffering to; to affect or trouble in a persistent and negative way.,"The social and economic problems that afflict the most impoverished communities are often systemic, stemming from decades of neglect and discriminatory policies.",verb,"to afflict, that afflict, which afflict","trouble, plague",,Sociology,IELTS 7.5+
overthrow,/ˈoʊvərθˌroʊ/,lật đổ,"To remove a leader or government from a position of power, especially by force.","The Bolsheviks, led by Vladimir Lenin, successfully managed to overthrow the provisional government in Russia during the October Revolution of 1917.",verb,"to overthrow, the overthrow, and overthrow","topple, depose",,Political Science,IELTS 7.5+
unconscious,/ˌənˈkɑnʃəs/,bất tỉnh,"In a state lacking awareness and the capacity for sensory perception; or, referring to mental processes occurring without the subject's awareness.","According to psychoanalytic theory, many of our deepest motivations are driven by unconscious desires and conflicts originating in early childhood.",adjective,"the unconscious, an unconscious, and unconscious","insensible, inadvertent",,Psychology,IELTS 7.5+
negligible,/ˈnɛglɪʤəbəl/,không đáng kể,So small or unimportant as to be not worth considering; insignificant.,"In many introductory physics problems, the effects of air resistance are considered negligible to simplify the calculations of an object's motion under gravity.",adjective,"is negligible, a negligible, be negligible","insignificant, trivial",,Physics,IELTS 7.5+
jeopardize,/ˈʤɛpərˌdaɪz/,gây nguy hiểm,"To put something such as a plan or system in danger of being harmed, damaged, or destroyed.",Failure to account for these complex ecological interactions could jeopardize the long-term sustainability of the reforestation project.,verb,"to jeopardize, would jeopardize, not jeopardize","endanger, imperil",,Environmental Science,IELTS 7.5+
hinder,/ˈhɪndər/,cản trở,To make it difficult for someone to do something or for something to happen by creating an obstacle or delay.,"Deep-seated cultural biases and systemic inequalities can hinder the social mobility of individuals from marginalized communities, perpetuating cycles of poverty.",verb,"to hinder, not hinder, the hinder","impede, obstruct",,Sociology,IELTS 7.5+
simultaneous,/ˌsaɪməlˈteɪniəs/,đồng thời,"Occurring, operating, or done at the exact same time as something else.","According to the special theory of relativity, it is impossible to say in an absolute sense that two distinct events occur at the same time if those events are separated in space, as the simultaneous observation of two spatially separated events depends on the observer's reference frame.",adjective,"the simultaneous, a simultaneous, of simultaneous","concurrent, coincident",,Physics,IELTS 7.5+
confrontation,/ˌkɑnfrənˈteɪʃən/,sự đối đầu,A hostile or argumentative situation or meeting between opposing parties.,"The historical analysis reveals that the direct confrontation of naval forces was a pivotal moment, escalating the regional dispute into a full-scale international crisis.",noun,"the confrontation, a confrontation, of confrontation","conflict, clash",,Political Science,IELTS 7.5+
vitality,/vaɪˈtæləti/,sức sống,"The state of being strong, active, and full of energy; the power giving continuance of life, present in all living things.","Ecological studies often measure the vitality of a forest by assessing tree growth rates, biodiversity, and resilience to environmental stressors like drought or disease.",noun,"the vitality, and vitality, of vitality","vigor, liveliness",,Biology,IELTS 7.5+
radiation,/ˌreɪdiˈeɪʃən/,bức xạ,"The emission of energy as electromagnetic waves or as moving subatomic particles, especially high-energy particles that cause ionization.","The cosmic microwave background is a form of electromagnetic radiation discovered in 1965 that fills the entire universe, providing a crucial snapshot of the early cosmos.",noun,"of radiation, the radiation, solar radiation","emission, emanation",,Physics,IELTS 7.5+
extinction,/ɪkˈstɪŋʃən/,sự tuyệt chủng,"The state or process of a species, family, or other group of animals or plants ceasing to exist.","The fossil record indicates that the vast majority of species that have ever lived are now extinct, with mass extinction events periodically accelerating this natural process.",noun,"the extinction, of extinction, to extinction","annihilation, eradication",,Biology,IELTS 7.5+
deduce,/dɪˈdus/,suy ra,To reach a conclusion about something by reasoning from known facts or evidence; to trace the course or derivation of.,"From the scant evidence available, the detective was able to deduce the suspect's motive and whereabouts on the night of the crime.",verb,"to deduce, can deduce, we deduce","infer, conclude",,Logic,IELTS 7.5+
magnitude,/ˈmægnəˌtud/,kích cỡ,"The great size, extent, or importance of something.","The apparent magnitude of a celestial object is a measure of its brightness as seen by an observer on Earth, with lower numbers indicating brighter objects.",noun,"the magnitude, of magnitude, in magnitude","scale, immensity",,Astronomy,IELTS 7.5+
profound,/proʊˈfaʊnd/,sâu,"Very great or intense; showing great knowledge or insight, often relating to a subject or state that is serious and complex.","The philosopher's critique of rationalism had a profound impact on subsequent existentialist thought, fundamentally altering the discourse on human freedom and responsibility.",adjective,"a profound, the profound, and profound","deep, intense",,Philosophy,IELTS 7.5+
disclose,/dɪˈskloʊz/,tiết lộ,"To make secret or new information known or public, often as part of a formal or legal obligation.","The Freedom of Information Act compels federal agencies to disclose previously unreleased government records upon public request, fostering transparency and accountability.",verb,"to disclose, not disclose, will disclose","reveal, divulge",,Law,IELTS 7.5+
probability,/ˌprɑbəˈbɪləˌti/,xác suất,"The extent to which an event is likely to occur, measured by the ratio of the favorable cases to the whole number of cases possible.","In quantum mechanics, the Schrödinger equation is used to calculate the probability amplitude of a particle's wave function, from which the probability of finding the particle at a specific location can be derived.",noun,"the probability, all probability, of probability","likelihood, chance",,Mathematics,IELTS 7.5+
controversial,/ˌkɑntrəˈvərʃəl/,gây tranh cãi,Giving rise or likely to give rise to public disagreement or heated discussion.,"The sociologist's new theory on class mobility proved to be highly controversial, sparking intense debate among his peers regarding its methodological validity.",adjective,"a controversial, the controversial, and controversial","debatable, contentious",,Sociology,IELTS 7.5+
aggregate,/ˈægrəgət/,tổng hợp,A whole formed by combining several separate elements; a total.,The statistical analysis revealed that the aggregate of household expenditures provided a more accurate predictor of economic trends than individual income levels alone.,noun,"the aggregate, an aggregate, of aggregate","total, sum",,Economics,IELTS 7.5+
tariff,/ˈtɛrəf/,thuế quan,A tax or duty to be paid on a particular class of imports or exports.,"The primary goal of a tariff is to protect domestic industries by making imported goods more expensive, thereby encouraging consumers to buy domestically produced items.",noun,"the tariff, a tariff, of tariff","duty, tax",,Economics,IELTS 7.5+
induce,/ˌɪnˈdus/,xúi giục,"To succeed in persuading or leading someone to do something; to bring about or give rise to a particular action, state, or condition.",Changes in gene expression that induce the heat-shock response also affect the expression of genes that control the cell cycle.,verb,"to induce, may induce, can induce","cause, bring about",,Biology,IELTS 7.5+
judicial,/ʤuˈdɪʃəl/,tư pháp,"Relating to, done by, or appropriate to a court or judge.","The principle of judicial review allows courts to invalidate laws and decisions that are incompatible with a higher authority, such as the terms of a written constitution.",adjective,"the judicial, of judicial, and judicial","juridical, judiciary",,Law,IELTS 7.5+
prestige,/prɛˈstiʒ/,uy tín,Widespread respect and admiration felt for someone or something on the basis of a perception of their achievements or quality.,"Sociologists often measure social stratification by analyzing occupational prestige, which reflects the collective respect and admiration a society accords to a particular job.",noun,"the prestige, and prestige, of prestige","status, reputation",,Sociology,IELTS 7.5+
ravage,/ˈrævɪʤ/,sự tàn phá,"To cause severe and extensive damage to something, often with violent and destructive force.","The Black Death, a bubonic plague pandemic that ravaged Europe from 1347 to 1351, had profound and lasting effects on the continent's social structure.",verb,"to ravage, and ravage, the ravage","devastate, destroy",,History,IELTS 7.5+
tyranny,/ˈtɪrəni/,sự chuyên chế,"Cruel, unreasonable, or arbitrary use of power or control; a government in which a single ruler is vested with absolute power.","For ancient Greek philosophers like Plato and Aristotle, tyranny represented the most corrupt form of government, a deviation from the ideal state where a single ruler governs without regard for law or the common good.",noun,"the tyranny, of tyranny, and tyranny","despotism, autocracy",,History,IELTS 7.5+
discretion,/dɪˈskrɛʃən/,tùy ý,"The freedom or authority to decide what should be done in a particular situation, based on one's own judgment.","The new sentencing guidelines were intended to limit judicial discretion, ensuring more uniform penalties for similar offenses across different jurisdictions.",noun,"the discretion, of discretion, his discretion","prudence, judgment",,Law,IELTS 7.5+
pollutant,/pəˈlutənt/,chất gây ô nhiễm,"A substance or energy introduced into the environment that has undesired effects, or adversely affects the usefulness of a resource.",The research focused on identifying the primary pollutant responsible for the degradation of the local water quality and tracing it back to its industrial source.,noun,"the pollutant, of pollutant, air pollutant","contaminant, adulterant",,Environmental Science,IELTS 7.5+
embed,/ɪmˈbɛd/,nhúng,To fix an object firmly and deeply in a surrounding mass; to incorporate or integrate something as an essential part of a larger system.,"In natural language processing, it is common to embed words into high-dimensional vectors to capture their semantic relationships.",verb,"to embed, and embed, can embed","integrate, implant",,Computer Science,IELTS 7.5+
deviate,/ˈdiviˌeɪt/,đi chệch hướng,"To depart from an established course, standard, or norm.",Any experimental data point that deviates significantly from the mean is considered an outlier and must be investigated for potential measurement error.,verb,"to deviate, not deviate, may deviate","diverge, stray",,Statistics,IELTS 7.5+
allude,/əˈlud/,ám chỉ,To suggest or call attention to something indirectly; to hint at.,"In his later works, the philosopher frequently alludes to the Socratic paradoxes without explicitly naming them, assuming his readership's familiarity with classical texts.",verb,"to allude, not allude, we allude","imply, suggest",,Literature,IELTS 7.5+
denounce,/dɪˈnaʊns/,tố cáo,To publicly declare to be wrong or evil; to condemn openly and formally.,Numerous international human rights organizations continue to denounce the regime's systematic suppression of political dissent and freedom of the press.,verb,"to denounce, and denounce, not denounce","condemn, censure",,Political Science,IELTS 7.5+
forthcoming,/ˈfɔrθˈkəmɪŋ/,sắp tới,1. Planned for or about to happen in the near future. 2. Willing to divulge information; communicative or candid.,"The full results of the longitudinal study, detailed in a forthcoming article in the Journal of Social Psychology, challenge previous assumptions about intergroup dynamics.",adjective,"the forthcoming, be forthcoming, not forthcoming","imminent, upcoming",,Sociology,IELTS 7.5+
irrelevant,/ˌɪˈrɛləvənt/,không liên quan,Not connected with or pertinent to the matter at hand; not applicable or important in a particular context.,"During the cross-examination, the defense attorney's line of questioning was objected to by the prosecutor, who argued that the witness's personal life was entirely irrelevant to the facts of the case.",adjective,"is irrelevant, are irrelevant, as irrelevant","immaterial, unrelated",,Law,IELTS 7.5+
contradictory,/ˌkɑntrəˈdɪktəri/,mâu thuẫn,Mutually opposed or inconsistent; containing elements which are logically incompatible.,"The philosopher's later works presented a seemingly contradictory view on free will, challenging the deterministic arguments he had championed in his early career.",adjective,"and contradictory, the contradictory, of contradictory","inconsistent, conflicting",,Philosophy,IELTS 7.5+
abolish,/əˈbɑlɪʃ/,bãi bỏ,"To formally put an end to a system, practice, or institution.","The parliamentary debate culminated in a landmark decision to abolish the archaic law, which had been a source of social contention for decades.",verb,"to abolish, not abolish, or abolish","repeal, annul",,History,IELTS 7.5+
aggravate,/ˈægrəˌveɪt/,làm trầm trọng thêm,"To make a problem, injury, or offense worse or more serious.","The economic downturn is likely to aggravate the problem of unemployment, particularly among recent graduates who face a highly competitive job market.",verb,"to aggravate, may aggravate, and aggravate","worsen, exacerbate",,Sociology,IELTS 7.5+
adversary,/ˈædvərˌsɛri/,kẻ thù,"One's opponent in a contest, conflict, or dispute.","In strategic negotiations, understanding the underlying motivations of one's adversary is paramount to achieving a favorable outcome.",noun,"the adversary, his adversary, an adversary","opponent, antagonist",,Political Science,IELTS 7.5+
deceptively,/dɪˈsɛptɪvli/,lừa bịp,"In a way that is misleading or gives a false impression, often making something seem simpler, better, or worse than it actually is.","The cognitive task was deceptively simple, requiring far more attentional resources than participants initially anticipated.",adverb,"a deceptively, is deceptively, the deceptively","misleadingly, deceivingly",,Psychology,IELTS 7.5+
eminently,/ˈɛmənəntli/,xuất sắc,"To a notable degree; very. Used to emphasize a positive quality, especially suitability or qualification.","The diplomat, with her extensive experience in conflict resolution, was an eminently suitable candidate for the peace envoy position.",adverb,"is eminently, was eminently, an eminently","exceptionally, supremely",,Political Science,IELTS 7.5+
teem,/tim/,đông đúc,To be full of or swarming with; to be present in large numbers.,"The shallow coastal waters teem with a rich variety of marine life, from vibrant coral reefs to dense kelp forests that serve as critical habitats.",verb,"to teem, which teem, that teem","abound, swarm",,Biology,IELTS 7.5+
forerunner,/ˈfɔˌrənər/,tiên nhân,"A person or thing that precedes the coming or development of someone or something else, often serving as a sign or prototype.","The Jacquard loom, which used punched cards to control the weaving of complex patterns, is widely considered a crucial forerunner to modern computing and data processing.",noun,"the forerunner, a forerunner, its forerunner","precursor, predecessor",,History,IELTS 7.5+
populous,/ˈpɑpjələs/,đông dân,Having a large population; densely inhabited.,"Historical analysis reveals that the most populous cities of the ancient world, such as Rome and Alexandria, faced unprecedented challenges in sanitation and food distribution.",adjective,"most populous, and populous, more populous","densely populated, crowded",,Sociology,IELTS 7.5+
bluntly,/ˈbləntli/,thẳng thắn,"In a direct, frank, and often brusque manner, without trying to be polite or considerate of other people's feelings.","To put it bluntly, the sociological study concluded that the existing social welfare programs were exacerbating, rather than alleviating, poverty in the urban core.",adverb,"it bluntly, said bluntly, more bluntly","frankly, directly",,Sociology,IELTS 7.5+
invertebrate,/ˌɪnˈvərtəˌbreɪt/,Động vật không xương sống,"An animal lacking a backbone or spinal column, such as an arthropod, mollusk, annelid, or coelenterate.","The fossil record of the invertebrate is much more extensive than that of the vertebrate, as invertebrates are far more numerous and have been present on Earth for a much longer period.",noun,"of invertebrate, the invertebrate, and invertebrate","non-vertebrate, spineless animal",,Biology,IELTS 7.5+
